text,category
Please help. The service centre has delayed the repair of my television This happened last week.,Appliances
Please help. My UPI transfer failed and the amount has not returned This happened last week.,Banking
My UPI transfer failed and the amount has not returned Support has not resolved it.,Banking
I need support because My mobile data stopped working after I recharged the prepaid plan I have the transaction details.,Telecom
Please help. The bus operator cancelled the trip and kept the booking amount Support has not resolved it.,Travel
Complaint: The online seller has not processed my refund for the returned headphones This happened last week.,Ecommerce
I have been waiting for a resolution. The online seller has not processed my refund for the returned shoes,Ecommerce
Please help. My card payment was reversed by the merchant but the bank has not credited it Support has not resolved it.,Banking
The new air conditioner was installed incorrectly and support is not responding Please review this.,Appliances
My washing machine stopped working during the warranty period This happened last week.,Appliances
Please help. The bus operator cancelled the trip and kept the booking amount This happened last week.,Travel
Complaint: The bus operator cancelled the trip and kept the booking amount Please review this.,Travel
My book order was marked delivered but I did not receive it I have the transaction details.,Ecommerce
Complaint: The network provider added a service I did not request Please review this.,Telecom
The bank charged an unexpected fee on my savings account I have the transaction details.,Banking
Please help. I received a damaged phone and the shopping app closed my return request Please review this.,Ecommerce
The price changed after checkout for my mixer order I have the transaction details.,Ecommerce
I need support because My television stopped working during the warranty period,Appliances
The airline changed my flight and did not offer a suitable refund This happened last week.,Travel
Complaint: My phone order was marked delivered but I did not receive it This happened last week.,Ecommerce
My train ticket was cancelled but the refund is still pending,Travel
Please help. My train ticket was cancelled but the refund is still pending I have the transaction details.,Travel
I have been waiting for a resolution. The technician charged me even though my air conditioner is under warranty I have the transaction details.,Appliances
I have been waiting for a resolution. My air conditioner stopped working during the warranty period I have the transaction details.,Appliances
My mobile data stopped working after I recharged the monthly plan Support has not resolved it.,Telecom
The service centre has delayed the repair of my refrigerator This happened last week.,Appliances
My television stopped working during the warranty period,Appliances
I have been waiting for a resolution. My train ticket was cancelled but the refund is still pending This happened last week.,Travel
The network provider added a service I did not request Please review this.,Telecom
The airline changed my flight and did not offer a suitable refund Support has not resolved it.,Travel
Complaint: The bus operator cancelled the trip and kept the booking amount Support has not resolved it.,Travel
Please help. My train ticket was cancelled but the refund is still pending This happened last week.,Travel
Please help. The new air conditioner was installed incorrectly and support is not responding Please review this.,Appliances
Complaint: My shoes order was marked delivered but I did not receive it Support has not resolved it.,Ecommerce
I have been waiting for a resolution. My card payment was reversed by the merchant but the bank has not credited it Please review this.,Banking
I need support because My card payment was reversed by the merchant but the bank has not credited it I have the transaction details.,Banking
Complaint: The price changed after checkout for my book order,Ecommerce
Please help. The ATM did not dispense cash but rupees 3500 was deducted Support has not resolved it.,Banking
The bank charged an unexpected fee on my savings account,Banking
Please help. The new microwave was installed incorrectly and support is not responding I have the transaction details.,Appliances
My refrigerator stopped working during the warranty period Please review this.,Appliances
Please help. My mobile data stopped working after I recharged the monthly plan Please review this.,Telecom
Please help. The price changed after checkout for my book order Please review this.,Ecommerce
Please help. An unauthorised debit of rupees 8000 appeared in my bank account I have the transaction details.,Banking
A replacement part for my television has not arrived I have the transaction details.,Appliances
Complaint: The broadband speed is much lower than the promised 100 Mbps Please review this.,Telecom
The broadband speed is much lower than the promised 100 Mbps Please review this.,Telecom
Complaint: My refrigerator stopped working during the warranty period This happened last week.,Appliances
I need support because My shoes order was marked delivered but I did not receive it Support has not resolved it.,Ecommerce
My mobile data stopped working after I recharged the prepaid plan I have the transaction details.,Telecom
I have been waiting for a resolution. My UPI transfer failed and the amount has not returned Support has not resolved it.,Banking
Please help. I received a damaged phone and the shopping app closed my return request I have the transaction details.,Ecommerce
I need support because My mobile data stopped working after I recharged the prepaid plan This happened last week.,Telecom
Complaint: My UPI transfer failed and the amount has not returned Please review this.,Banking
I need support because The network provider added a service I did not request,Telecom
Please help. An unauthorised debit of rupees 8000 appeared in my bank account I have the transaction details.,Banking
I have been waiting for a resolution. The technician charged me even though my television is under warranty I have the transaction details.,Appliances
The ATM did not dispense cash but rupees 499 was deducted Please review this.,Banking
Complaint: The broadband speed is much lower than the promised 50 Mbps I have the transaction details.,Telecom
I have been waiting for a resolution. The new refrigerator was installed incorrectly and support is not responding,Appliances
I have been waiting for a resolution. My book order was marked delivered but I did not receive it Support has not resolved it.,Ecommerce
I need support because My washing machine stopped working during the warranty period,Appliances
I need support because An unauthorised debit of rupees 8000 appeared in my bank account,Banking
Complaint: The online seller has not processed my refund for the returned book Please review this.,Ecommerce
I have been waiting for a resolution. My mobile data stopped working after I recharged the monthly plan,Telecom
My number port request is delayed without an explanation Please review this.,Telecom
I have been waiting for a resolution. I received a damaged book and the shopping app closed my return request This happened last week.,Ecommerce
